#separator:tab
#html:true
#notetype:Basic
#tags column:3
Co to Function Calling (Tool Use) — jak to działa pod maską?	Model nie wykonuje akcji sam — generuje JSON opisujący <b>którą</b> funkcję wywołać i z <b>jakimi</b> argumentami. Kod aplikacji wywołuje funkcję, przekazuje wynik z powrotem, a model decyduje co dalej. Pętla iteruje dopóki model nie odpowie użytkownikowi (brak tool calls).	s01e02 function-calling tool-use concept
Dlaczego mapowanie istniejącego API 1:1 na narzędzia dla LLM to zły pomysł?	API jest projektowane dla deweloperów z dostępem do dokumentacji. Agent AI tego dostępu nie ma — widzi tylko nazwy i opisy z kontekstu. Dlatego narzędzia muszą być <b>samoopisujące</b>, łączyć endpointy w jedno (np. <code>workspace_metadata</code>) i pomijać destrukcyjne/rzadkie akcje.	s01e02 tool-design api-translation why
Co to Agent Harness i czym różni się od "samego agenta"?	Harness to cały ekosystem wokół agenta: sandbox, pamięć krótko/długoterminowa, zarządzanie kontekstem, uprawnienia, obserwowalność, lifecycle hooks. Core idea: <b>zamienia stochastyczny model w ograniczony system</b>, w którym akcje są walidowane, rejestrowane i obserwowane.	s01e02 agent-harness architecture concept
Dlaczego prompt cache jest priorytetem nr 1 przy optymalizacji agenta?	Stabilny system prompt + historia pozwalają pominąć retokenizację — oszczędność tokenów i ~3x szybsze TTFT (Time To First Token, ~0.5s zamiast ~1.5s). Złamanie cache przez dynamiczne dane w system prompcie oznacza, że każde zapytanie zaczyna od zera.	s01e02 prompt-cache optimization why
Masz w system prompcie linię <code>Current date: {today}</code>. Co z tym nie tak?	Zmiana jednego tokenu w system prompcie <b>niszczy prompt cache</b> — każde zapytanie retokenizuje cały system prompt od nowa. Rozwiązanie: przenieś dynamiczne dane (data, godzina) do wiadomości użytkownika lub wyników narzędzia.	s01e02 prompt-cache system-prompt antipattern
Workflow vs Agent — kiedy co wybrać?	<b>Workflow</b>: z góry ustalony łańcuch kroków. Przewidywalny, łatwy do debugowania. Wybieraj gdy struktura jest jasna i chcesz 100% powtarzalności.<br><b>Agent</b>: pętla, w której model sam decyduje co dalej. Elastyczny, mniej deterministyczny. Wybieraj gdy problem jest otwarty i elastyczność daje realną przewagę.	s01e02 workflow agent compare
Dlaczego bezpieczeństwo agenta musi być kontrolowane programistycznie, a nie przez instrukcje w system prompcie?	Model może halucynować adres email, ID użytkownika czy ścieżkę pliku — a instrukcja "nie wysyłaj do nieznanych adresów" nie jest deterministyczna. Kontrola w kodzie (<b>whitelist</b>, <b>izolacja kontekstu</b>, <b>dry-run</b>) jest deterministyczna i nie podlega prompt injection.	s01e02 security programmatic-limits why
Co to prompt injection i dlaczego jest fundamentalnie nierozwiązywalne?	Model nie potrafi odróżnić legalnych instrukcji od złośliwych treści osadzonych w danych (np. w emailu, który czyta). Każdy nowy model jest łamany w ~24h przez Pliny the Liberator. Obrona: <b>ograniczenia środowiskowe</b>, nie próby "naprawienia" modelu.	s01e02 prompt-injection security concept
Masz agenta z 25 narzędziami, który coraz gorzej wybiera właściwe. Co zrobisz?	Podziel na <b>subagenty</b> z mniejszymi zestawami (max 10-15 narzędzi każdy) albo użyj <b>progressive disclosure</b> — ładuj definicje dopiero, gdy są potrzebne. Więcej narzędzi = więcej szumu w kontekście = gorsze decyzje modelu.	s01e02 tool-design subagents problem
Agent ma wysyłać emaile z wynikami analizy. Jak zaprojektujesz to narzędzie, by zminimalizować ryzyko i koszt tokenów?	Trzy warstwy: (1) <b>whitelist</b> dozwolonych adresów (np. domena firmowa), (2) <b>dry-run</b> z podglądem przed wysłaniem, (3) <b>file handoff</b> — raport zapisz do pliku i dołącz jako załącznik zamiast generować treść tokenami.	s01e02 tool-design file-handoff security problem
Co to "file handoff" jako technika optymalizacji kontekstu?	Zamiast generować te same dane tokenami wielokrotnie (np. raport → wysyłka maila → archiwizacja), zapisujesz wynik do pliku i przekazujesz <b>referencję</b>. Oszczędność: ~4000+ tokenów generacji per operacja i zachowanie prompt cache.	s01e02 context-engineering file-handoff concept
Dlaczego jedno narzędzie <code>workspace_metadata</code> jest lepsze niż cztery osobne (<code>get_teams</code>, <code>get_users</code>, <code>get_projects</code>, <code>get_labels</code>)?	Cztery osobne = cztery iteracje pętli LLM (każda z pełnym kontekstem w input). Jedno połączone = jedna iteracja, jeden cykl tokenów generacji. To <b>action batching</b> — kluczowa technika cięcia kosztu i latency w rozbudowanych agentach.	s01e02 optimization action-batching why
Użytkownik pyta "co omówiono w pierwszym tygodniu?", ale pliki nazywają się <code>ai_devs/S01E01.md</code>. Jak zaprojektujesz flow, żeby agent trafił do właściwych dokumentów?	Zbuduj plik <code>_index.md</code> z mapą treści, którą agent czyta <b>przed</b> eksploracją zasobów. Daje mu wiedzę, że "tydzień 1" = S01. Dodatkowo zachęcaj agenta do <b>pytań doprecyzowujących</b> zamiast zgadywania.	s01e02 query-transformation index-file problem
Twoje narzędzia zwracają modelowi błędy prosto z API (np. <code>400 Bad Request</code>). Co to psuje?	Model nie ma dostępu do dokumentacji — nie wie co oznacza "400". Komunikat musi zawierać <b>konkret</b> i <b>sugestię naprawy</b>: "Status 'done' nie istnieje. Czy chodziło o 'completed'?". Precyzyjne błędy z sugestiami drastycznie zwiększają skuteczność agenta.	s01e02 tool-design error-messages antipattern
