#separator:tab
#html:true
#notetype:Basic
#tags column:3
Co to autoregresja w kontekście modeli językowych?	Model generuje odpowiedź token po tokenie — każdy nowy token zależy od wszystkich poprzednich (wejście + już wygenerowane). Raz wygenerowanego tokenu nie da się cofnąć — model nie ma backspace'a.	s01e01 fundamentals autoregression concept
Na czym polega bezstanowość API modeli językowych i jakie to ma konsekwencje dla programisty?	Każde zapytanie musi zawierać komplet danych potrzebnych do odpowiedzi — API nie pamięta poprzednich wiadomości. Konsekwencja: to programista kontroluje co dokładnie trafia do kontekstu, i może to manipulować między zapytaniami.	s01e01 fundamentals stateless-api concept
Dlaczego "rozmowa" z ChatGPT to iluzja budowana po stronie kodu?	API jest bezstanowe — efekt rozmowy powstaje przez dopisywanie odpowiedzi modelu do historii i wysyłanie pełnego wątku w każdym kolejnym zapytaniu. Bez tego model nie ma żadnej "pamięci" poprzedniej interakcji.	s01e01 stateless-api context-management why
Co to "routing zapytań" (chain of queries) w pracy z LLM i jaki problem rozwiązuje?	Łańcuch wielu zapytań, gdzie wynik jednego wpływa na kolejne (np. klasyfikacja → specjalistyczna obsługa). Rozwiązuje problem rozproszonej uwagi modelu — mniejszy zakres pojedynczego zapytania = wyższa skuteczność. Z perspektywy użytkownika to nadal "pytanie → odpowiedź".	s01e01 routing chain-of-queries concept
Co to Structured Outputs w trybie strict i co gwarantuje (a czego nie gwarantuje)?	JSON Schema dołączony do zapytania API z flagą strict. Gwarantuje <b>strukturę</b> odpowiedzi (zgodność ze schematem — koniec z try/catch na JSON.parse). <b>Nie gwarantuje</b> jakości <b>wartości</b> — te zależą od nazw pól i opisów (description).	s01e01 structured-outputs json-schema concept
Dlaczego kolejność właściwości w JSON Schema ma znaczenie dla jakości wyników?	Przez autoregresję — model generuje wartości sekwencyjnie, a każde kolejne pole "widzi" poprzednie. Kolejność "reasoning → category → confidence" daje lepsze wyniki niż odwrotna, bo późniejsze pola mogą bazować na wcześniejszym rozumowaniu.	s01e01 json-schema autoregression why
Ekstrakcja danych z tekstu: pole "email" halucynuje wartości, gdy w tekście nie ma maila. Jak to naprawić bez zmiany modelu?	Użyć <code>type: ["string", "null"]</code> i dodać description <code>"Use null if not mentioned"</code>. Daje modelowi wyjście awaryjne zamiast wymuszania wartości — drastycznie redukuje halucynacje.	s01e01 structured-outputs hallucinations problem
Dlaczego warto dzielić długi tekst na fragmenty do przetwarzania, nawet gdy cały mieści się w oknie kontekstowym?	Skupia uwagę modelu na mniejszym zadaniu → wyższa skuteczność.<br>Dodatkowa korzyść: pozwala użyć tańszych modeli, które dla krótszych fragmentów dają jakość porównywalną z droższymi.	s01e01 context-engineering chunking why
Co to "semantyczne zdarzenia" w architekturze komunikacji z LLM?	Typowane eventy z id, typem i metadanymi (np. <code>{type: "thinking_delta", id: "r1", text: "..."}</code>) zamiast surowego tekstu wiadomości. Fundament skalowalnej architektury — rozbudowa UI = dodanie nowego typu zdarzenia, nie migracja bazy.	s01e01 events architecture concept
Zapisujesz surowy tekst odpowiedzi assistant do bazy danych. Co się stanie przy pierwszej rozbudowie UI (np. dodanie bloków reasoning)?	Migracja: baza + back-end + front-end. Każda zmiana formatu wymaga przetłumaczenia istniejących wiadomości. Rozwiązanie: zdarzenia semantyczne z typem, id i metadanymi — rozbudowa to dodanie nowej właściwości, nie refaktor całego stacku.	s01e01 events architecture antipattern
Model myli narzędzia add_task i add_event. Dopisałeś "if mentions meeting → add_event". Dalej się myli na "Prepare for meeting" (to task, nie event). Jak naprawić bez kolejnej konkretnej reguły?	Meta-reguła opisująca proces myślowy: "Before selecting tool: 1) State which tool and why, 2) Rate certainty 0-100%, 3) If <80% ask clarifying question." Generalizuje rozumowanie zamiast łatać konkretne przypadki — "generalizowanie generalizacji".	s01e01 meta-rules generalization problem
"Generalizowanie generalizacji" — co to oznacza w pracy z promptami?	Zamiast łatać konkretne błędy konkretnymi regułami ("if X then Y"), tworzysz meta-reguły opisujące proces myślowy, które działają dla dowolnej konfiguracji narzędzi i zadań. Specyficzne reguły tworzą whack-a-mole, meta-reguły eliminują całe klasy błędów.	s01e01 meta-rules generalization concept
Dlaczego nie istnieje "najlepszy model" a jedynie "najlepszy w danej sytuacji"?	"Liderzy" zmieniają się szybko, benchmarki są syntetyczne i nie pokrywają twojej domeny. Jedyny wiarygodny sposób oceny = własny proces testowy oparty o trudne zadania z własnej domeny. Dlatego architektura powinna umożliwiać wymianę modeli (unikać vendor lock-in).	s01e01 model-selection vendor-lock-in why
"Wybieram model na podstawie benchmarków z papers i leaderboardów" — co jest nie tak?	Benchmarki są syntetyczne i nie odzwierciedlają twojej domeny. Potrzebny własny proces weryfikacji: trudne wyzwania domenowe, zadania problematyczne dla innych modeli, zestawy testowe narzędzi, unikatowe łamigłówki, vibe check. Można zautomatyzować narzędziami jak Promptfoo czy DeepEval.	s01e01 model-selection evaluation antipattern
