#separator:tab
#html:true
#notetype:Basic
#tags column:3
Co to Query Awareness i jak wpływa na skuteczność agenta AI?	Różnica w skuteczności wynikająca z doświadczenia użytkownika. Ekspert nieświadomie "wstrzykuje kontekst" — wymienia źródła, narzędzia i pliki — co determinuje, które narzędzia się uruchomią. Początkujący pisze ogólne zapytanie, agent nie wie gdzie szukać.	s04e05 query-awareness context-injection concept
Na czym polega wzorzec Review Agent i dlaczego jest tak elastyczny?	Agent przetwarza dokument akapit po akapicie z narzędziem <code>add_comment</code> i UI do akceptacji/odrzucenia sugestii. Elastyczność: <b>ten sam interfejs</b> z innymi promptami i narzędziami obsługuje zupełnie inne procesy — korekta, tłumaczenie, fact-checking, linkowanie.	s04e05 review-agent tool-design concept
Jakie 5 kategorii ryzyk bezpieczeństwa wiąże się z agentami AI?	<b>Data Leak</b> — agent przesyła dane na zewnątrz.<br><b>Data Destruction</b> — destrukcyjny kod (np. DROP TABLE).<br><b>Silent Drift</b> — błędy nawarstwiają się bez review.<br><b>Tool Misfire</b> — email na zły adres, zaproszenie osób spoza org.<br><b>Misguide</b> — chatbot sugeruje niebezpieczną akcję.	s04e05 security ai-risks concept
Co to MCP Apps i jaki problem rozwiązują?	Łączą <b>deterministyczne akcje</b> (przyciski, formularze) z inteligencją AI w jednym interfejsie czatu. Przyciski eliminują ryzyko halucynacji tam, gdzie potrzebna jest precyzja, a AI decyduje co pokazać i z jakich narzędzi korzystać.	s04e05 mcp-apps generative-ui concept
Dlaczego wdrożenie AI to problem zmiany, a nie problem technologii?	Trzy siły — <b>organizacyjna</b> (nawyki, koszty), <b>techniczna</b> (niedeterminizm, edge case'y) i <b>ludzka</b> (nowe umiejętności, różna AI literacy) — wzajemnie się wzmacniają. Pominięcie jednej osłabia resztę. Dlatego potrzebne cztery komplementarne strategie: build it right, lead by example, redesign workflow, prove it small.	s04e05 ai-adoption change-management why
Dlaczego warto zaczynać wdrożenie AI od dokumentu z promptem zamiast budowania systemu?	Jeden dokument (checklista, onboarding, opis stylu) udostępniony na Slacku daje natychmiastową wartość przy zerowym koszcie technicznym. Widoczna wygrana buduje zaufanie i adopcję bottom-up — naturalnie generując pomysły na kolejne zastosowania.	s04e05 ai-adoption simple-deployment why
Dlaczego hosting modelu na Bedrock/Azure nie eliminuje ryzyka bezpieczeństwa?	Zaufana infrastruktura chroni dane <b>przed dostawcą</b>, ale zagrożenie tkwi w tym, co agent <b>robi</b> z danymi. Agent z dostępem do Internetu może exfiltrować wewnętrzne dane niezależnie od hostingu. Trzeba blokować na poziomie kodu i infrastruktury, nie instrukcji.	s04e05 security trusted-infra why
Dlaczego dedykowany UI z accept/reject daje fundamentalnie inną jakość niż ChatGPT?	"Ten sam efekt w ChatGPT" to iluzja. Dedykowany UI daje: postęp przetwarzania, accept/reject na każdej sugestii, wizualizację komentarzy w kontekście dokumentu, możliwość ponowienia z innym promptem. Koszt budowy jest niski z pomocą AI.	s04e05 review-agent ui-design why
Początkujący użytkownicy agenta dostają generyczne odpowiedzi, eksperci — precyzyjne. Jak wyrównać tę przepaść?	Kompensuj brak kontekstu: <b>domyślne narzędzia</b> (agent sam wybiera źródła), <b>sugestie i autouzupełnianie</b> (podpowiadaj źródła), <b>predefiniowane akcje</b> (przyciski zamiast pisania), <b>query templates</b> (gotowe zapytania z nazwanymi narzędziami).	s04e05 query-awareness ux-design problem
Potrzebujesz narzędzi do korekty, tłumaczenia i fact-checkingu dokumentów. Jak uniknąć budowania trzech oddzielnych systemów?	Wzorzec Review Agent: <b>jeden interfejs</b> (dokument + accept/reject) z <b>wymiennymi promptami i narzędziami</b>. Korekta = prompt korektorski. Fact-checking = prompt + dostęp do Internetu. Linkowanie = prompt + indeks bloga. Architektura ta sama, zmienia się konfiguracja.	s04e05 review-agent reusability problem
Agent AI generuje raporty bez kontroli człowieka. Po miesiącu jakość systematycznie spadła. Jak zapobiec?	To <b>Silent Drift</b> — błędy nawarstwiają się niezauważone. Rozwiązanie: świadome punkty kontroli (human-in-the-loop), regularne sampelowanie wyników i porównywanie z ground truth, monitoring metryk jakości w czasie.	s04e05 security silent-drift problem
Zarząd ogłasza: "od teraz wszyscy używają AI". Dlaczego to nie zadziała?	Top-down mandaty ignorują siłę ludzką — różny poziom AI literacy, różne style zapytań, obawy o zmianę roli. Skuteczniejsze: <b>bottom-up adoption</b> — warsztaty, wymiana doświadczeń, widoczne wygrane. Pokaż demo zamiast pisać regulamin. "Curiosity over mandates."	s04e05 ai-adoption change-management antipattern
Dokładasz AI do istniejącego procesu bez zmian w przepływie pracy. Co z tym nie tak?	AI zmienia <b>kto za co odpowiada</b>, jak wygląda handoff i gdzie potrzebne są feedback loops. Nakładanie AI na stary workflow to jak dodanie silnika do dorożki — trzeba <b>przeprojektować</b> proces wokół AI, nie dokładać na wierzch. "Build around AI, not on top."	s04e05 ai-adoption workflow-design antipattern
