#separator:tab
#html:true
#notetype:Basic
#tags column:3
Co to "mechanizm zaufanych narzędzi" (Accept/Trust/Cancel) i dlaczego zaufanie musi się automatycznie cofać?	Trzy przyciski: <b>Accept</b> (jednorazowo), <b>Trust</b> (dodaj do wyjątków — kolejne wywołania bez zgody), <b>Cancel</b> (odrzuć). Zaufanie cofa się automatycznie przy zmianie <b>nazwy, opisu lub schematu</b> narzędzia — szczególnie ważne przy MCP, gdzie serwer może się zmienić bez wiedzy użytkownika.	s01e05 tool-trust security concept
Co to "event-driven architektura agenta" i jakie daje korzyści?	Każdy krok pętli emituje zdarzenia: <code>agent:start</code>, <code>turn:start</code>, <code>tool:select/execute/complete</code>, <code>agent:wait/resume</code>, <code>agent:error</code>. Do tych zdarzeń podpinasz monitoring, moderację, heartbeat, wstrzymanie/wznowienie — bez twardego sprzężenia między komponentami.	s01e05 architecture event-driven concept
Jak estymować zużycie tokenów przed wysłaniem zapytania do LLM?	Wstępna estymacja: <code>chars / 4 + 20% bufor</code> (1 token ≈ 3-4 znaki). Po odpowiedzi: API zwraca dokładne zużycie w <code>response.usage</code>. Kompresję lub ekstrakcję kontekstu uruchamiaj już przy <b>~30%</b> zużycia okna, nie gdy dobijesz do limitu.	s01e05 context-management tokens concept
Jaka jest różnica między "jawnymi" a "niejawnymi" limitami modelu?	<b>Jawne</b>: okno kontekstowe, max output tokens, rate limits API — widoczne w dokumentacji i odpowiedziach.<br><b>Niejawne</b>: halucynacje, "gwarancja struktury ≠ gwarancja wartości", model "domyśla się" zamiast dopytać. Niejawne są groźniejsze bo system nie widzi problemu.	s01e05 limits concept
Dlaczego "gwarancja struktury" w Structured Output to NIE to samo co "gwarancja wartości"?	JSON Schema validation potwierdzi że obiekt ma właściwe typy i wymagane pola. Ale <code>revenue: 5200000</code> może być <b>całkowicie zmyślone</b> — schema validation przechodzi, bo struktura jest poprawna. To najniebezpieczniejsza halucynacja, bo system nie widzi problemu.	s01e05 structured-outputs hallucinations why
Dlaczego potwierdzenia akcji agenta powinny być <b>przyciskiem</b> w UI, a nie wiadomością typu "Tak, wyślij"?	"Tak, wyślij" to wiadomość do modelu — model może ją <b>zignorować, zinterpretować opacznie lub halucynować zgodę</b>. Przycisk Accept/Cancel to deterministyczna akcja w kodzie, której model w ogóle nie widzi. Bezpieczeństwo wymaga determinizmu, którego LLM nie daje.	s01e05 confirmation security why
Dlaczego frameworki AI (Langchain, CrewAI) to dług techniczny na produkcji?	Rozwój modeli, API i technik jest <b>zbyt dynamiczny</b> — framework który działa dziś, staje się ciężarem za 3 miesiące (nowe funkcje modelu, zmieniona odpowiedź API, przestarzałe abstrakcje). Lepsza strategia: wspólny interfejs providerów + własna logika event-driven.	s01e05 architecture no-frameworks why
Dlaczego "tańszy model" nie gwarantuje niższego kosztu aplikacji agentowej?	Tańszy model (np. GPT-4.1-nano vs mini) może być <b>gorszy w rozumowaniu</b> i potrzebować <b>więcej iteracji</b>, żeby dojść do tego samego wyniku. Łączny koszt = liczba tokenów × cena za token × liczba kroków — czasem droższy model wychodzi taniej dzięki mniejszej liczbie prób.	s01e05 cost-optimization why
Structured Output zwraca poprawny JSON z danymi do wykresu, ale wartości są błędne (kompletnie zmyślone). Jak to wykryjesz i naprawisz?	Schema validation nie wystarczy — nie sprawdza poprawności wartości. Trzy obrony: (1) <b>osobne zapytanie weryfikujące</b> ("sprawdź czy revenue jest zgodne ze źródłem"), (2) walidacja programistyczna wartości krytycznych, (3) porównanie z danymi ze sprawdzonego źródła zamiast "wierzenia" modelowi.	s01e05 structured-outputs hallucinations problem
Twoja aplikacja agentowa kosztuje 10× więcej niż planowałeś. Gdzie zaczynasz szukać oszczędności?	Nie zaczynaj od "weź tańszy model". Mierz: <b>ile zapytań</b> na akcję użytkownika, <b>ile tokenów</b> na zapytanie, <b>czy prompt cache działa</b> (czy nie jest łamany przez dynamiczne dane w system prompcie), czy agent nie iteruje w kółko. Dopiero potem zmieniaj model.	s01e05 cost-optimization problem
Użytkownik zamyka przeglądarkę w środku 5-minutowego zadania agenta. Co powinno się stać?	Agent kontynuuje pracę w tle (event-driven architektura + persystencja stanu w SQLite). Każdy Item zapisany z turnNumber, więc stan można odtworzyć. Przy ponownym wejściu: agent <code>resume</code> od ostatniego stanu, nie od początku. Zamknięcie przeglądarki <b>nie kończy pracy</b>.	s01e05 architecture persistence resume problem
Używasz Langchain do integracji z trzema modelami LLM w aplikacji produkcyjnej. Co się stanie za 3 miesiące?	Nowe funkcje modeli (np. prompt cache, nowy format tool calls, reasoning tokens) nie będą wspierane przez abstrakcje frameworka. Wersje breaking zmieniają API. Debugowanie jest trudniejsze, bo warstwa frameworka ukrywa szczegóły. Refaktor na własny interfejs staje się nieunikniony.	s01e05 architecture no-frameworks antipattern
Wszyscy użytkownicy twojej aplikacji dzielą <b>jeden wspólny klucz API</b> do LLM. Co jest nie tak?	Jeden power user może "spalić" budżet całej aplikacji w jedno popołudnie. Brak izolacji kosztów, brak rate limitingu per user, brak monitoringu kto ile zużywa. Rozwiązanie: <b>indywidualne limity</b> — np. OpenRouter pozwala programistycznie generować klucze z limitami per user.	s01e05 cost-control rate-limiting antipattern
