#separator:tab
#html:true
#notetype:Basic
#tags column:3
Co to "konsolidacja narzędzi" w projektowaniu MCP i jak wygląda w praktyce?	Zamiast mapować API 1:1 (np. 13 akcji filesystem → 13 narzędzi), łączysz powiązane akcje w jedno narzędzie z <b>trybami</b>. Przykład: <code>fs_read(mode: "list" | "content")</code> zastępuje cztery osobne narzędzia. Cel: mniej szumu w kontekście modelu, pełna funkcjonalność zachowana.	s01e03 tool-design consolidation concept
Co to Model Context Protocol (MCP) i jaki problem rozwiązuje?	Standard łączenia LLM z narzędziami. Rozwiązuje problem N×M: bez MCP każdy host (Claude, Cursor, ChatGPT) potrzebuje dedykowanej integracji z każdym serwisem. Z MCP: <b>jeden serwer → wiele hostów</b>. Architektura: Host → Client → Server (paczka narzędzi).	s01e03 mcp architecture concept
Co to "unified toolset" w hoście łączącym MCP i natywne narzędzia?	Schematy MCP konwertowane są do formatu Function Calling (np. przez <code>mcpToolsToOpenAI</code>), a handlery obu źródeł unifikowane pod wspólnym interfejsem. Model dostaje jedną listę narzędzi i <b>nie wie</b>, czy wywołuje MCP czy funkcję JS — dla niego różnicy nie ma.	s01e03 mcp native-tools concept
Co to "dynamiczne hints" w odpowiedziach narzędzi i do czego służą?	Wskazówki generowane przez kod narzędzia — nie tylko przy błędach, ale też przy sukcesach. Pięć kategorii: błąd + naprawa, status zasobu, sugestie dalszych kroków, korekta wartości, dostępne opcje. Cel: "prowadzić model za rękę" zamiast zakładać, że domyśli się sam.	s01e03 dynamic-hints tool-design concept
Dlaczego warto dodawać hint przy sukcesie narzędzia, nie tylko przy błędzie?	Odpowiedź "201 Created" wystarczy programiście z dokumentacją. Model nie ma docs — potrzebuje <b>ścieżki do utworzonego pliku</b>, checksum'u, sugestii kolejnych akcji. To "wzmacnia" zachowanie modelu — nie musi pamiętać ścieżki z wcześniejszych kroków.	s01e03 dynamic-hints why
Dlaczego checksum i dryRun są niezbędne dla <code>fs_write</code> w agentach produkcyjnych?	<b>Checksum</b> chroni przed nadpisaniem pliku zmienionego w międzyczasie — agent dostaje błąd z hintem "Read the file first". <b>DryRun</b> pozwala zobaczyć efekt zmian przed zapisem. Razem eliminują dużą klasę błędów agentów modyfikujących pliki.	s01e03 filesystem security-patterns why
Dlaczego prefixować nazwy narzędzi MCP z namespace'em serwera (np. <code>gmail__search</code> zamiast <code>search</code>)?	Przy wielu serwerach MCP generyczne nazwy (<code>search</code>, <code>send</code>, <code>get</code>) <b>kolidują</b>. Prefix eliminuje kolizje i daje modelowi jednoznaczną informację, z którym serwisem rozmawia. Host powinien prefiksować automatycznie.	s01e03 mcp naming why
Dlaczego wewnętrzny serwer MCP ma inne zasady projektowania niż publiczny?	Wewnętrznie <b>znasz</b>: listę narzędzi, procesy, użytkowników, scenariusze. Publicznie <b>tracisz</b> tę wiedzę — nie wiesz jakie inne serwery agent ma podłączone, jakie dane przetwarza, kto go używa. Wniosek: publiczny serwer wymaga twardszych ograniczeń, walidacji i anonimizacji.	s01e03 mcp security public-vs-internal why
Masz agenta z filesystem MCP, który losowo nadpisuje pliki zmienione przez użytkownika. Jak naprawić?	Wprowadź <b>checksum</b> w narzędziu <code>fs_write</code>: agent musi przekazać hash wersji pliku, którą widział. Jeśli nie zgadza się z aktualnym — błąd z hintem "Read the file first to get the current checksum". Wymusza re-read przed edycją.	s01e03 filesystem checksum problem
Twój agent tłumaczący działa jako workflow (split → translate → merge) i fragmenty są niespójne stylistycznie. Jak zmienić architekturę?	Zamień na <b>agenta z pętlą</b> i limitem kroków (~80). Agent po przetłumaczeniu fragmentu może wrócić, porównać z innymi fragmentami, poprawić styl i zweryfikować całość. Workflow to stała sekwencja bez mechanizmu korekty — agent to self-correcting loop.	s01e03 workflow agent self-correction problem
Budujesz publiczny serwer MCP do wysyłania maili. Nie kontrolujesz hosta ani innych podłączonych serwerów. Jakie ograniczenia zastosujesz?	(1) <b>Whitelist</b> odbiorców lub dry-run z potwierdzeniem, (2) rate limity per sesja/klucz, (3) walidacja treści (anty-spam, anty-injection), (4) masowa wysyłka i zmiana konfiguracji konta <b>w ogóle nie udostępnione</b>, (5) logowanie i observability.	s01e03 mcp public-server security problem
Mapujesz 1:1 API Linear (13 endpointów) na 13 narzędzi MCP. Co z tym nie tak?	To <b>szum w kontekście</b> — model dostaje 13 definicji różniących się tylko nazwą. Konsoliduj: łącz powiązane akcje w jedno narzędzie z trybami (np. <code>projects(op: "list" | "create" | "update")</code>), pomijaj rzadkie i destrukcyjne akcje. Cel: 3-4 narzędzia, nie 13.	s01e03 tool-design consolidation antipattern
Twoje narzędzie zwraca modelowi <code>{"status": "success", "code": 201}</code> po zapisie pliku. Co to psuje?	Model nie dostaje <b>żadnego kontekstu do dalszych akcji</b>: nie wie pod jaką ścieżką plik został zapisany ani co robić dalej. Poprawnie: zwróć ścieżkę, checksum, sugestię ("Read the file to verify") — wzmacnia zachowanie modelu bez dodatkowych kroków.	s01e03 dynamic-hints antipattern
STDIO vs Streamable HTTP w serwerach MCP — kiedy co?	<b>STDIO</b>: lokalny proces, jeden użytkownik, świetne dla narzędzi typu filesystem/ffmpeg/CLI. Używaj w aplikacjach desktopowych.<br><b>Streamable HTTP</b>: serwer na VPS/Cloudflare, wielu użytkowników, OAuth 2.1. Domyślny wybór przy budowie nowych serwerów dla aplikacji webowych.	s01e03 mcp transport compare
